timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2025/07/16 11:47:52.109, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:47:53.110, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:47:54.111, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:47:55.112, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:47:56.113, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:47:57.114, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:47:58.115, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:47:59.116, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:48:00.117, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:48:01.118, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:48:02.119, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:48:03.120, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:48:04.121, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:48:05.122, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:48:06.123, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:48:07.124, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:48:08.125, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:48:09.125, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:48:10.127, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:48:11.128, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:48:12.129, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:48:13.130, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:48:14.131, Quadro RTX 8000, 0 %, 0 %, 3 MiB
